id_cancelado,data_cancelamento
048920010020606595701,2018-10-05
048920010020606611601,2017-10-11
048920010020606632701,2017-10-19
048920010020606709201,2017-11-17
048920010020606717801,2018-12-14
048920010020606735201,2018-01-09
048920010020606774701,2017-11-24
048920010020606818501,2017-12-04
048920010020606925901,2017-12-29
048920010020606960301,2018-05-11
048920010020606973501,2018-01-08
048920010020607006801,2018-01-13
048920010020607015501,2018-01-15
048920010020607015502,2019-01-15
048920010050201454801,2017-10-13
048920010050201537101,2017-10-22
048920010050201674001,2017-11-29
048920010050201707401,2017-11-28
048920010050201799801,2018-11-26
048920010050201856501,2018-12-06
048920010050201883001,2017-12-12
048920010050201908901,2018-12-14
048920010050201908902,2017-12-14
048920010050201909001,2017-12-14
048920010050201950201,2017-12-21
048920010050202044901,2018-01-04
048920010050202048701,2018-03-08
048920010050202054701,2018-01-09
048920010050202076101,2018-03-16
048920010050202182901,2018-03-08
048920010050202190101,2018-02-01
048920010050202228701,2018-02-06
048920010050202263701,2018-02-15
048920010148002268256,2019-02-13
048920010148003787395,2018-09-17
048920010148006320293,2019-12-26
048920010148009225029,2018-11-06
048920010148009407855,2019-12-13
048920010148010215636,2019-10-09
048920010148015354060,2018-06-14
048920010148017192464,2018-07-31
048920010148018721527,2019-08-14
048920010148018931703,2020-03-12
048920010148024504196,2020-02-04
048920010148024716084,2019-11-19
048920010148026086367,2018-08-07
048920010148027181677,2019-09-20
048920010148031502830,2019-07-12
048920010148032716623,2018-10-29
048920010148033799049,2019-05-16
